FREQ,Frequency,INSTRUMENT_TYPE,Instrument Type,TENOR,Tenor,UNIT_MEASURE,Unit of Measure,DECIMALS,COLLECTION,Collection Indicator,TIME_PERIOD,OBS_VALUE,CALC_METHOD,Calculation Method
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-06,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-07,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-08,0.03,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-09,-0.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-10,-0.01,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-11,0.04,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2020-12,0.02,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-01,0.07,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-02,0.14,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-03,0.16,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-04,0.15,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-05,0.09,,
M,Monthly,TBIL,Treasury bills,3M,3 months,R,Rate,2,A,Average of observations through period (A),2021-06,0,,
